"Timestamp","Age","Gender","What kind of Locality do you live in?","Education level - Either Studying or Completed","Family Income per year(in Rupees)","How likely are you to use home remedies for the following health issue/ symptom :  [Sore throat / Cough]","How likely are you to use home remedies for the following health issue/ symptom :  [Running Nose]","How likely are you to use home remedies for the following health issue/ symptom :  [Diarrhoea]","How likely are you to use home remedies for the following health issue/ symptom :  [Back/Joint pain]","How likely are you to use home remedies for the following health issue/ symptom :  [Constipation]","How likely are you to use home remedies for the following health issue/ symptom :  [Headache]","How likely are you to use home remedies for the following health issue/ symptom :  [Wounds / minor cuts and bruises]","How likely are you to use home remedies for the following health issue/ symptom :  [Sleeping problems / nervousness]","Have you ever used any of the following home remedies?","Do you prefer using Home remedies?"
"2020/10/19 10:29:02 PM GMT+5:30","53","Female","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Never","Once in a while","Once in a while","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:30:00 PM GMT+5:30","25","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Never","Always","Once in a while","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:30:04 PM GMT+5:30","47","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:30:09 PM GMT+5:30","43","Female","Urban","Graduate","Prefer not to say","Once in a while","Most of the time","Once in a while","Once in a while","Most of the time","Once in a while","Most of the time","Most of the time","Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:31:33 PM GMT+5:30","44","Female","Urban","Graduate","Above 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Never","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:31:52 PM GMT+5:30","25","Female","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Never","Most of the time","Never","Once in a while","Never","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:32:00 PM GMT+5:30","Yes home remedies r the best . It may take time but surely result  oriented ","Female","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Always","Most of the time","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:32:27 PM GMT+5:30","48","Male","Urban","Post Graduate","Above 25 lakh","Once in a while","Once in a while","Never","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 10:32:56 PM GMT+5:30","23","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Never","Most of the time","Never","Once in a while","Never","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Gargling for Sore throat","Yes"
"2020/10/19 10:34:13 PM GMT+5:30","20","Male","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Never","Always","Once in a while","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 10:34:48 PM GMT+5:30","46","Male","Urban","Post Graduate","1 lakh to 25 lakh","Always","Always","Most of the time","Most of the time","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:34:58 PM GMT+5:30","48 ","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:35:12 PM GMT+5:30","48 ","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:35:32 PM GMT+5:30","30","Male","Rural","Basic schooling","less than 1 Lakh","Always","Always","Always","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Gargling for Sore throat","Yes"
"2020/10/19 10:36:15 PM GMT+5:30","19","Female","Urban","High School","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Once in a while","Once in a while","Once in a while","Once in a while","Once in a while","Drink Haldi/Turmeric milk;Using Hot water steam","Yes"
"2020/10/19 10:36:32 PM GMT+5:30","66","Female","Rural","Basic schooling","Prefer not to say","Always","Always","Always","Most of the time","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Fennel seeds for Constipation","Yes"
"2020/10/19 10:37:14 PM GMT+5:30","21","Female","Urban","Post Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Never","Most of the time","Never","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:37:18 PM GMT+5:30","23","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Once in a while","Never","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:37:26 PM GMT+5:30","53","Male","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Most of the time","Never","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Other Home Remedies","Yes"
"2020/10/19 10:38:26 PM GMT+5:30","19","Female","Urban","High School","1 lakh to 25 lakh","Most of the time","Once in a while","Never","Once in a while","Most of the time","Once in a while","Most of the time","Most of the time","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 10:38:28 PM GMT+5:30","27","Male","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Always","Always","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:38:48 PM GMT+5:30","42","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Never","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 10:40:19 PM GMT+5:30","34","Male","Rural","Post Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Never","Never","Never","Once in a while","Never","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:41:14 PM GMT+5:30","35","Female","Urban","Post Graduate","1 lakh to 25 lakh","Always","Always","Always","Most of the time","Always","Always","Most of the time","Always","Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:41:36 PM GMT+5:30","42","Female","Urban","Post Graduate","1 lakh to 25 lakh","Always","Always","Always","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:42:15 PM GMT+5:30","27","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Never","Most of the time","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:43:16 PM GMT+5:30","43","Female","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:43:23 PM GMT+5:30","57","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:43:30 PM GMT+5:30","56","Male","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Never","Most of the time","Never","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:44:04 PM GMT+5:30","19","Male","Urban","High School","less than 1 Lakh","Once in a while","Never","Never","Most of the time","Once in a while","Most of the time","Never","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:44:12 PM GMT+5:30","32","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:44:18 PM GMT+5:30","43","Female","Urban","Post Graduate","Prefer not to say","Once in a while","Once in a while","Never","Once in a while","Never","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:44:41 PM GMT+5:30","18","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Never","Once in a while","Never","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:44:45 PM GMT+5:30","18","Male","Urban","High School","Prefer not to say","Always","Most of the time","Once in a while","Most of the time","Never","Always","Always","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:46:47 PM GMT+5:30","48","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Never","Once in a while","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:47:28 PM GMT+5:30","31","Male","Urban","Post Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Never","Never","Once in a while","Never","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 10:47:51 PM GMT+5:30","33","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 10:48:29 PM GMT+5:30","19","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Never","Once in a while","Never","Never","Never","Once in a while","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 10:48:41 PM GMT+5:30","31","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Once in a while","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation","Yes"
"2020/10/19 10:50:39 PM GMT+5:30","18","Male","Urban","High School","1 lakh to 25 lakh","Always","Always","Most of the time","Always","Always","Always","Most of the time","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:50:44 PM GMT+5:30","21","Female","Urban","Graduate","Above 25 lakh","Always","Always","Never","Most of the time","Most of the time","Once in a while","Always","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:51:14 PM GMT+5:30","38","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
